RATE,AED
AED,3.972097
AFN,92.822233
ALL,107.172649
AMD,417.512379
ANG,1.943486
AOA,751.096777
ARS,268.158122
AUD,1.593268
AWG,1.946683
AZN,1.836485
BAM,1.951687
BBD,2.177381
BDT,117.871588
BGN,1.953876
BHD,0.407683
BIF,3045.453597
BMD,1.081491
BND,1.446638
BOB,7.451297
BRL,5.208349
BSD,1.078412
BTC,0.000043104785
BTN,88.564215
BWP,14.388411
BYN,2.721938
BYR,21197.219213
BZD,2.173689
CAD,1.443785
CDF,2563.132907
CHF,0.976799
CLF,0.031398
CLP,866.360935
CNY,7.761643
COP,4517.927717
CRC,584.163484
CUC,1.081491
CUP,28.659506
CVE,110.026087
CZK,23.810126
DJF,192.000923
DKK,7.451872
DOP,59.094912
DZD,147.062182
EGP,33.415581
ERN,16.222362
ETB,59.233319
EUR,1.0
FJD,2.393285
FKP,0.852039
GBP,0.855838
GEL,2.817272
GGP,0.852039
GHS,12.240091
GIP,0.852039
GMD,64.186306
GNF,9272.330114
GTQ,8.449038
GYD,228.077222
HKD,8.466726
HNL,26.436042
HRK,7.544601
HTG,150.432965
HUF,371.632335
IDR,16149.901761
ILS,3.884212
IMP,0.852039
INR,88.808075
IQD,1412.716193
IRR,45720.022615
ISK,149.105417
JEP,0.852039
JMD,166.597358
JOD,0.767207
JPY,152.514529
KES,151.082432
KGS,94.727721
KHR,4439.602561
KMF,491.320436
KPW,973.350525
KRW,1387.655348
KWD,0.332245
KYD,0.898702
KZT,485.823888
LAK,19721.346414
LBP,16186.637261
LKR,345.091131
LRD,189.53061
LSL,19.948136
LTL,3.193361
LVL,0.654183
LYD,5.19296
MAD,10.888952
MDL,19.217411
MGA,4866.676062
MKD,61.486272
MMK,2264.595992
MNT,3753.414172
MOP,8.699027
MRO,386.092021
MUR,49.319612
MVR,16.600685
MWK,1106.857083
MXN,18.587863
MYR,5.012166
MZN,68.404063
NAD,19.94809
NGN,503.4292
NIO,39.446502
NOK,11.566901
NPR,141.704051
NZD,1.75281
OMR,0.416365
PAB,1.078427
PEN,3.938101
PGK,3.876794
PHP,60.632736
PKR,305.916942
PLN,4.451
PYG,7812.354999
QAR,3.937744
RON,4.949116
RSD,117.244084
RUB,90.845185
RWF,1227.900866
SAR,4.056328
SBD,9.013324
SCR,14.379329
SDG,649.975972
SEK,11.631985
SGD,1.453486
SHP,1.315904
SLE,24.366024
SLL,21359.442625
SOS,614.836287
SRD,40.66511
STD,22384.675545
SVC,9.43607
SYP,2717.275354
SZL,19.893798
THB,37.657308
TJS,11.765187
TMT,3.796033
TND,3.338022
TOP,2.545505
TRY,25.479571
TTD,7.311557
TWD,33.276931
TZS,2581.51865
UAH,39.829492
UGX,4000.531955
USD,1.081491
UYU,41.711323
UZS,12377.970859
VEF,2918375.805115
VES,29.277503
VND,25429.09262
VUV,128.306388
WST,2.927863
XAF,654.571449
XAG,0.046049
XAU,0.000559
XCD,2.922783
XDR,0.808781
XOF,654.565409
XPF,119.558766
YER,270.75131
ZAR,19.920109
ZMK,9734.710962
ZMW,20.516477
ZWL,348.239589
